Code-Year,Christianity,Judaism,Islam,Buddhism,Zoroastrian,Hindu,Sikh,Shinto,Baha’i,Taoism,Jainism,Confucianism,Syncretic,Animist,Non Religious,Other Religions,Top religion by number of followers
USA1945,220530236.0,9282364.0,0.0,3202436.0,0,0,0,0,0,0,0,0,0,0,22874544,545938,Christianity
USA1950,245988038.0,12181674.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,22568130,618022,Christianity
USA1955,268003540.0,10666664.0,0.0,180346.0,0,0,0,0,0,0,0,0,0,0,23303540,3202185,Christianity
USA1960,300468694.0,11000000.0,0.0,4024262.0,0,0,0,0,0,0,0,0,0,0,21548225,1376297,Christianity
USA1965,335031516.0,11200000.0,0.0,2161784.0,0,0,0,0,0,0,0,0,0,0,19852362,581988,Christianity
USA1970,345734102.0,12300000.0,0.0,2227722.0,0,0,0,0,90247,0,0,0,0,0,20474592,10249,Christianity
USA1975,365621064.0,13400000.0,0.0,2039112.0,0,159778,1597,0,220494,0,0,0,0,0,24789671,241372,Christianity
USA1980,373299728.0,14518000.0,5333120.0,2715934.0,0,995149,0,0,0,89563,0,0,0,59708,26813635,1834554,Christianity
USA1985,399575564.0,15020000.0,4969716.0,3968650.0,0,1005000,0,0,0,0,0,0,0,0,25396899,297136,Christianity
USA1990,428850324.0,11017008.0,4589514.0,3150962.0,52301,323352,18517,59724,887961,100408,6410,0,0,78345,24413914,162164,Christianity
USA1995,431187950.0,10518926.0,4850754.0,3216692.0,758150,574269,47402,57972,672364,55771,6684,39248,270915,219079,34475517,690468,Christianity
USA2000,439636610.0,10020848.0,5111994.0,4899138.0,1464000,825186,76286,56220,456767,11134,6959,78497,541831,359813,44537120,108892,Christianity
USA2005,452929610.0,11073244.0,5370748.0,7365388.0,1554443,1311442,269862,60560,456767,11134,79459,86656,672506,1066695,51781800,175181,Christianity
USA2010,466222614.0,11884496.0,5629500.0,6820472.0,1644887,1797698,406908,156375,482784,11768,83984,91591,803181,1773577,59422500,796206,Christianity
CAN1945,21063922.0,353380.0,0.0,230132.0,0,0,5000,0,0,0,0,0,11000,0,0,666938,Christianity
CAN1950,24450958.0,359908.0,4012.0,224012.0,0,2006,10001,0,1000,0,0,0,14973,50003,128304,1011268,Christianity
CAN1955,27939064.0,434320.0,2006.0,893216.0,0,1003,5000,0,500,0,0,171199,7486,25001,64152,827356,Christianity
CAN1960,32340438.0,508732.0,0.0,1562422.0,0,0,0,0,0,0,0,342398,0,0,0,360806,Christianity
CAN1965,34633118.0,573298.0,0.0,1580000.0,0,0,0,0,0,0,0,376219,0,0,500000,408573,Christianity
CAN1970,35778960.0,575018.0,82206.0,31392.0,0,19615,19615,0,23640,0,980,407172,29390,11777,713821,1837202,Christianity
CAN1975,40195478.0,607390.0,86770.0,33054.0,0,20659,7230,0,0,30989,0,0,0,12395,2444940,164441,Christianity
CAN1980,43108764.0,617188.0,351238.0,41694.0,0,50986,9064,0,0,29458,0,0,0,150692,1959478,256880,Christianity
CAN1985,46592320.0,627144.0,425620.0,0.0,0,0,0,0,0,0,0,0,0,0,2011269,9190,Christianity
CAN1990,48692000.0,700000.0,500000.0,1000000.0,10200,155000,240000,0,0,280000,0,0,0,9000,1545500,15300,Christianity
CAN1995,49917684.0,723760.0,250000.0,500000.0,7577,170941,197867,272,9010,141722,0,1230,0,36487,2772795,320377,Christianity
CAN2000,51143374.0,747524.0,560646.0,720000.0,4955,186882,155735,545,18020,3445,0,2460,0,63975,4000090,125121,Christianity
CAN2005,52115280.0,682458.0,1292000.0,1210000.0,5138,193800,161500,565,18687,3572,0,2551,0,66343,4100000,97975,Christianity
CAN2010,52862208.0,680608.0,1340000.0,1340000.0,6130,275000,275000,915,18945,3620,3320,2700,27000,70861,5670000,35101,Christianity
BHM1975,329206.0,1536.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,6421,17208,Christianity
BHM1980,348360.0,1240.0,0.0,0.0,0,0,0,0,0,0,0,0,0,3900,6940,24360,Christianity
BHM1985,371400.0,1000.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,7500,38300,Christianity
BHM1990,419340.0,800.0,0.0,0.0,0,0,0,0,500,0,0,0,75,0,5225,39130,Christianity
BHM1995,507290.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,30355,Christianity
BHM2000,594090.0,600.0,0.0,0.0,0,0,0,0,0,92,0,0,0,1000,8917,146,Christianity
BHM2005,627900.0,634.0,0.0,0.0,0,0,0,0,0,97,0,0,0,1056,9425,155,Christianity
BHM2010,605314.0,610.0,0.0,0.0,0,0,0,0,0,93,0,0,0,1018,9086,153,Christianity
CUB1945,9147130.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3944000,0,0,0,Christianity
CUB1950,10369704.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,4686400,0,0,0,Christianity
CUB1955,11408732.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5140800,0,0,0,Christianity
CUB1960,12378000.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5623200,0,0,0,Christianity
CUB1965,12451840.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,5920000,0,0,0,Christianity
CUB1970,12764600.0,3600.0,0.0,10000.0,0,3000,0,0,500,0,0,0,5982200,0,2100000,0,Christianity
CUB1975,13008476.0,3600.0,2000.0,10000.0,0,3000,0,0,0,4000,0,0,5982200,0,1935400,0,Christianity
CUB1980,13843160.0,4400.0,0.0,12000.0,0,0,0,0,0,0,0,0,6806800,252000,2435400,0,Christianity
CUB1985,15109840.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,7068600,0,2502000,0,Christianity
CUB1990,15360420.0,2000.0,16000.0,12000.0,0,21000,0,0,800,20000,0,0,6374400,0,2577060,0,Christianity
CUB1995,17048320.0,2040.0,16320.0,12240.0,0,21420,0,0,816,20400,0,0,6588000,0,2267812,0,Christianity
CUB2000,16201300.0,1000.0,17000.0,0.0,0,0,0,0,0,0,0,0,7840700,0,1680150,0,Christianity
CUB2005,15040190.0,2400.0,14400.0,0.0,0,11000,0,0,0,21501,0,0,5621500,0,1478532,0,Christianity
CUB2010,14814214.0,3000.0,16000.0,0.0,0,25000,0,0,0,0,0,0,5620580,0,1478290,0,Christianity
HAI1945,5873000.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1545000,0,0,0,Christianity
HAI1950,5888000.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1548500,0,0,0,Christianity
HAI1955,6197000.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1750000,0,0,0,Christianity
HAI1960,6506000.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1902000,0,0,0,Christianity
HAI1965,7485762.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2071500,0,0,0,Christianity
HAI1970,8471850.0,200.0,3000.0,0.0,0,0,0,0,10700,0,0,0,2260000,0,183830,0,Christianity
HAI1975,9107612.0,200.0,3000.0,0.0,0,0,0,0,0,0,0,0,2460000,0,183830,0,Christianity
HAI1980,10005000.0,200.0,3400.0,0.0,0,0,0,0,0,0,0,0,2676500,106300,57900,0,Christianity
HAI1985,10250000.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2932500,0,520000,0,Christianity
HAI1990,11869000.0,320.0,3320.0,0.0,0,0,0,0,0,180,0,0,3243000,0,410442,0,Christianity
HAI1995,13243020.0,258.0,1660.0,0.0,0,0,0,0,4263,90,0,0,3590000,0,0,0,Christianity
HAI2000,14755200.0,196.0,0.0,0.0,0,0,0,0,8527,0,0,0,5088500,0,822200,0,Christianity
HAI2005,15997000.0,1000.0,4000.0,0.0,0,0,0,0,11200,0,0,0,6587000,0,941000,0,Christianity
HAI2010,16007764.0,240.0,3500.0,0.0,0,0,0,0,8527,0,0,0,4392374,0,976083,0,Christianity
DOM1945,3758040.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,100980,Christianity
DOM1950,4263828.0,926.0,0.0,112.0,0,0,0,0,0,0,0,0,0,0,1845,105722,Christianity
DOM1955,4981904.0,462.0,0.0,56.0,0,0,0,0,0,0,0,0,0,0,0,62789,Christianity
DOM1960,6298930.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,81535,Christianity
DOM1965,6478900.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,110550,Christianity
DOM1970,7197078.0,700.0,0.0,3000.0,0,0,0,0,0,0,0,0,0,0,450000,11611,Christianity
DOM1975,7898498.0,830.0,0.0,1500.0,0,0,0,0,2750,0,0,0,0,32550,580000,131286,Christianity
DOM1980,9710850.0,960.0,0.0,4000.0,0,0,0,0,5500,0,0,0,0,65100,626670,141825,Christianity
DOM1985,10714720.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,60000,705760,292880,Christianity
DOM1990,12089504.0,0.0,3200.0,2940.0,0,0,0,0,5000,5000,0,0,0,0,781672,266620,Christianity
DOM1995,12196600.0,0.0,0.0,0.0,0,0,0,0,5000,0,0,0,0,0,788700,278000,Christianity
