Code-Year,Top religion by number of followers,Country,Year
USA1945,Christianity,USA,1945
USA1950,Christianity,USA,1950
USA1955,Christianity,USA,1955
USA1960,Christianity,USA,1960
USA1965,Christianity,USA,1965
USA1970,Christianity,USA,1970
USA1975,Christianity,USA,1975
USA1980,Christianity,USA,1980
USA1985,Christianity,USA,1985
USA1990,Christianity,USA,1990
USA1995,Christianity,USA,1995
USA2000,Christianity,USA,2000
USA2005,Christianity,USA,2005
USA2010,Christianity,USA,2010
CAN1945,Christianity,CAN,1945
CAN1950,Christianity,CAN,1950
CAN1955,Christianity,CAN,1955
CAN1960,Christianity,CAN,1960
CAN1965,Christianity,CAN,1965
CAN1970,Christianity,CAN,1970
CAN1975,Christianity,CAN,1975
CAN1980,Christianity,CAN,1980
CAN1985,Christianity,CAN,1985
CAN1990,Christianity,CAN,1990
CAN1995,Christianity,CAN,1995
CAN2000,Christianity,CAN,2000
CAN2005,Christianity,CAN,2005
CAN2010,Christianity,CAN,2010
BHM1975,Christianity,BHM,1975
BHM1980,Christianity,BHM,1980
BHM1985,Christianity,BHM,1985
BHM1990,Christianity,BHM,1990
BHM1995,Christianity,BHM,1995
BHM2000,Christianity,BHM,2000
BHM2005,Christianity,BHM,2005
BHM2010,Christianity,BHM,2010
CUB1945,Christianity,CUB,1945
CUB1950,Christianity,CUB,1950
CUB1955,Christianity,CUB,1955
CUB1960,Christianity,CUB,1960
CUB1965,Christianity,CUB,1965
CUB1970,Christianity,CUB,1970
CUB1975,Christianity,CUB,1975
CUB1980,Christianity,CUB,1980
CUB1985,Christianity,CUB,1985
CUB1990,Christianity,CUB,1990
CUB1995,Christianity,CUB,1995
CUB2000,Christianity,CUB,2000
CUB2005,Christianity,CUB,2005
CUB2010,Christianity,CUB,2010
HAI1945,Christianity,HAI,1945
HAI1950,Christianity,HAI,1950
HAI1955,Christianity,HAI,1955
HAI1960,Christianity,HAI,1960
HAI1965,Christianity,HAI,1965
HAI1970,Christianity,HAI,1970
HAI1975,Christianity,HAI,1975
HAI1980,Christianity,HAI,1980
HAI1985,Christianity,HAI,1985
HAI1990,Christianity,HAI,1990
HAI1995,Christianity,HAI,1995
HAI2000,Christianity,HAI,2000
HAI2005,Christianity,HAI,2005
HAI2010,Christianity,HAI,2010
DOM1945,Christianity,DOM,1945
DOM1950,Christianity,DOM,1950
DOM1955,Christianity,DOM,1955
DOM1960,Christianity,DOM,1960
DOM1965,Christianity,DOM,1965
DOM1970,Christianity,DOM,1970
DOM1975,Christianity,DOM,1975
DOM1980,Christianity,DOM,1980
DOM1985,Christianity,DOM,1985
DOM1990,Christianity,DOM,1990
DOM1995,Christianity,DOM,1995
DOM2000,Christianity,DOM,2000
DOM2005,Christianity,DOM,2005
DOM2010,Christianity,DOM,2010
JAM1960,Christianity,JAM,1960
JAM1965,Christianity,JAM,1965
JAM1970,Christianity,JAM,1970
JAM1975,Christianity,JAM,1975
JAM1980,Christianity,JAM,1980
JAM1985,Christianity,JAM,1985
JAM1990,Christianity,JAM,1990
JAM1995,Christianity,JAM,1995
JAM2000,Christianity,JAM,2000
JAM2005,Christianity,JAM,2005
JAM2010,Christianity,JAM,2010
TRI1960,Christianity,TRI,1960
TRI1965,Christianity,TRI,1965
TRI1970,Christianity,TRI,1970
TRI1975,Christianity,TRI,1975
TRI1980,Christianity,TRI,1980
TRI1985,Christianity,TRI,1985
TRI1990,Christianity,TRI,1990
TRI1995,Christianity,TRI,1995
TRI2000,Christianity,TRI,2000
TRI2005,Christianity,TRI,2005
TRI2010,Christianity,TRI,2010
BAR1970,Christianity,BAR,1970
BAR1975,Christianity,BAR,1975
